,Full Name,Rank,State,State_Name,Gender,Party,Term Date,Approve,Disapprove,No Opinion,ideology,rank_from_low,Link,Website,url_temp,url_temp_final
0,Lamar Alexander,senior,TN,Tennessee,Male,Republican,2015-01-06 to 2021-01-03,0.43,0.3,0.27,0.6924682832119119,55.0,https://www.govtrack.us/congress/members/lamar_alexander/300002,https://www.alexander.senate.gov/public,https://en.wikipedia.org/wiki/File:Lamar_Alexander_official_photo_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Lamar_Alexander_official_photo_%28cropped%29.jpg/409px-Lamar_Alexander_official_photo_%28cropped%29.jpg
1,Susan Collins,senior,ME,Maine,Female,Republican,2015-01-06 to 2021-01-03,0.53,0.38,0.09,0.5556297694204375,47.0,https://www.govtrack.us/congress/members/susan_collins/300025,https://www.collins.senate.gov,https://en.wikipedia.org/wiki/File:Susan_Collins_official_Senate_photo_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/a/aa/Susan_Collins_official_Senate_photo_%28cropped%29.jpg
2,John Cornyn,senior,TX,Texas,Male,Republican,2015-01-06 to 2021-01-03,0.43,0.25,0.32,0.9040279989965632,93.0,https://www.govtrack.us/congress/members/john_cornyn/300027,https://www.cornyn.senate.gov,https://en.wikipedia.org/wiki/File:John_Cornyn_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/e/e4/John_Cornyn_%28cropped%29.jpg
3,Richard Durbin,senior,IL,Illinois,Male,Democrat,2015-01-06 to 2021-01-03,0.36,0.39,0.26,0.153866430126689,10.0,https://www.govtrack.us/congress/members/richard_durbin/300038,https://www.durbin.senate.gov,https://en.wikipedia.org/wiki/File:Richard_Durbin_official_photo_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Richard_Durbin_official_photo_%28cropped%29.jpg/549px-Richard_Durbin_official_photo_%28cropped%29.jpg
4,Michael Enzi,senior,WY,Wyoming,Male,Republican,2015-01-06 to 2021-01-03,0.56,0.27,0.18,0.8297323207712908,77.0,https://www.govtrack.us/congress/members/michael_enzi/300041,https://www.enzi.senate.gov,https://en.wikipedia.org/wiki/File:MIke_Enzi_official_portrait_115th_Congress_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/MIke_Enzi_official_portrait_115th_Congress_%28cropped%29.jpg/498px-MIke_Enzi_official_portrait_115th_Congress_%28cropped%29.jpg
5,Lindsey Graham,senior,SC,South Carolina,Male,Republican,2015-01-06 to 2021-01-03,0.51,0.32,0.18,0.7013602557996437,56.0,https://www.govtrack.us/congress/members/lindsey_graham/300047,https://www.lgraham.senate.gov/public,"https://en.wikipedia.org/wiki/File:Lindsey_Graham,_official_photo,_113th_Congress_(cropped).jpg",https://upload.wikimedia.org/wikipedia/commons/f/f1/Lindsey_Graham%2C_official_photo%2C_113th_Congress_%28cropped%29.jpg
6,James Inhofe,senior,OK,Oklahoma,Male,Republican,2015-01-06 to 2021-01-03,0.38,0.35,0.27,0.9103937203269232,96.0,https://www.govtrack.us/congress/members/james_inhofe/300055,https://www.inhofe.senate.gov,https://en.wikipedia.org/wiki/File:Jim_Inhofe_official_portrait_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Jim_Inhofe_official_portrait_%28cropped%29.jpg/441px-Jim_Inhofe_official_portrait_%28cropped%29.jpg
7,Mitch McConnell,senior,KY,Kentucky,Male,Republican,2015-01-06 to 2021-01-03,0.38,0.47,0.15,0.6443790697741278,52.0,https://www.govtrack.us/congress/members/mitch_mcconnell/300072,https://www.mcconnell.senate.gov,https://en.wikipedia.org/wiki/File:Sen_Mitch_McConnell_official_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Sen_Mitch_McConnell_official_%28cropped%29.jpg/505px-Sen_Mitch_McConnell_official_%28cropped%29.jpg
8,John Reed,senior,RI,Rhode Island,Male,Democrat,2015-01-06 to 2021-01-03,0.54,0.23,0.23,0.15926417401250714,12.0,https://www.govtrack.us/congress/members/john_reed/300081,https://www.reed.senate.gov,https://en.wikipedia.org/wiki/File:Senator_Jack_Reed_official_photo_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/1/14/Senator_Jack_Reed_official_photo_%28cropped%29.jpg
9,Pat Roberts,senior,KS,Kansas,Male,Republican,2015-01-06 to 2021-01-03,0.36,0.37,0.28,0.8540789779102235,85.0,https://www.govtrack.us/congress/members/pat_roberts/300083,https://www.roberts.senate.gov,https://en.wikipedia.org/wiki/File:Pat_Roberts_official_Senate_photo_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/d/d7/Pat_Roberts_official_Senate_photo_%28cropped%29.jpg
