Candidate,Gender,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?
Anthony White (Alabama),Male,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,3.4200001,No,Nonwhite,Yes,No,No,No,No,No,,,No,,,,,,,,,,
Christopher Countryman,Male,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,1.74,No,White,No,Yes,No,No,No,No,,,No,,,,,,,,,,
"Doug ""New Blue"" Smith",Male,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,3.27,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,
James C. Fields,Male,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,8,No,Nonwhite,Yes,No,Yes,No,No,No,,,No,,,,,,,,,,
Sue Bell Cobb,Female,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,None,-28.879999,28.98,No,White,No,No,Yes,No,No,No,,,No,,,,,,,,,,
Walt Maddox,Male,AL,Governor of Alabama,Governor,Regular,6/5/18,Advanced,None,On the Ballot,-28.879999,54.599998,Yes,White,No,No,Yes,No,No,No,,,Yes,,,,,,,,,,
Lizzetta Hill McConnell,Female,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Lost,None,None,-30.68,19.23,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,
Robert Kennedy Jr.,Male,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-30.68,80.769997,Yes,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,
Audri Scott Williams,Female,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Lost,None,None,-33.080002,39.560001,No,Nonwhite,Yes,No,No,No,No,No,,,,,,,,,,,,,
Tabitha Isner,Female,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-33.080002,60.439999,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
Adia McClellan Winfrey,Female,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Lost,None,None,-33.66,34.240002,No,Nonwhite,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,
Mallory Hagan,Female,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-33.66,65.739998,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Lee Auman,Male,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-62.48,54.130001,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Rick Neighbors,Male,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Lost,None,None,-62.48,45.869999,No,White,Yes,No,No,No,No,No,,,No,,,,,,,,,,
Peter Joffrion,Male,AL,U.S. House Alabama District 5,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-34.830002,100,Yes,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,
Danner Kline,Male,AL,U.S. House Alabama District 6,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-48.459999,100,Yes,White,No,No,No,No,No,No,,,Yes,,,,,,,,,,
Jared Henderson,Male,AR,Governor of Arkansas,Governor,Regular,5/22/18,Advanced,None,On the Ballot,-28.639999,63.299999,Yes,White,No,No,No,No,Yes,No,,,,,,,,,,,,,
Leticia Sanders,Female,AR,Governor of Arkansas,Governor,Regular,5/22/18,Lost,None,None,-28.639999,36.700001,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,
Chintan Desai,Male,AR,U.S. House Arkansas District 1,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-34.810001,100,Yes,Nonwhite,No,No,No,No,No,No,,,Yes,,,,,,,Yes,,,
Clarke Tucker,Male,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-13.51,57.82,Yes,White,No,No,Yes,No,No,No,Yes,,Yes,,,,,,,,,,
Gwen Combs,Female,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,20.299999,No,White,Yes,No,No,No,No,No,No,,Yes,,,,,,,,,,
Jonathan Dunkley,Male,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,9.3400002,No,Nonwhite,No,No,No,No,No,No,No,,No,,,,,,,,,,
Paul Spencer,Male,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,None,-13.51,12.55,No,White,No,No,No,No,No,No,No,,No,,,,,,,,,,
Joshua Mahony,Male,AR,U.S. House Arkansas District 3,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-34.560001,100,Yes,White,No,No,No,No,No,No,,,,,,,,,,Yes,,,
Hayden Shamel,Female,AR,U.S. House Arkansas District 4,Representative,Regular,5/22/18,Advanced,None,On the Ballot,-33.68,100,Yes,White,No,No,No,No,No,No,,,,,,,,,,,,,
Brianna Westbrook,Female,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,-24.559999,39.720001,No,White,No,Yes,No,No,No,No,,,,,,,Yes,Yes,,,,,
Hiral Tipirneni,Female,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Advanced,None,On the Ballot,-24.559999,60.220001,Yes,Nonwhite,No,No,No,No,Yes,No,,,,,,,No,No,,,,,
Akinyemi Agbede,Male,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.22,No,Nonwhite,No,No,No,No,Yes,No,,,No,,,,No,,,,,,
Albert Caesar Mezzetti,Male,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.28,No,White,Yes,No,Yes,No,No,No,,,No,,,,No,,,,,,
Amanda Renteria,Female,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,2.1500001,No,Nonwhite,No,No,No,No,No,No,,,No,,,,No,,,,,,
Antonio Villaraigosa,Male,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,21.290001,No,Nonwhite,No,No,Yes,No,No,No,,,No,,,,No,,,,,,
Delaine Eastin,Female,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,5.4000001,No,White,No,No,Yes,No,No,No,,,Yes,,,,Yes,,,,,,
Gavin Newsom,Male,CA,Governor of California,Governor,Regular,6/5/18,Advanced,None,On the Ballot,25.83,53.869999,Yes,White,No,No,Yes,No,No,No,,,Yes,,,,No,,,,,,
John Chiang,Male,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,15.08,No,Nonwhite,No,No,Yes,No,Yes,No,,,Yes,,,,No,,,,,,
Juan Bribiesca,Male,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.40000001,No,Nonwhite,No,No,No,No,Yes,No,,,No,,,,No,,,,,,
Klement Tinaj,Male,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.12,No,Nonwhite,No,No,No,No,No,No,,,No,,,,No,,,,,,
Michael Shellenberger,Male,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.73000002,No,White,No,No,No,No,No,No,,,No,,,,No,,,,,,
Robert Davidson Griffis,Male,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.25999999,No,White,No,No,No,No,No,No,,,No,,,,No,,,,,,
Thomas Jefferson Cares,Male,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,25.83,0.20999999,No,White,No,No,No,No,Yes,No,,,No,,,,No,,,,,,
Audrey Denney,Female,CA,U.S. House California District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-21.379999,43.650002,Yes,White,No,No,No,No,No,No,,,,,,,Yes,Yes,,No,,,
David Peterson,Male,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379999,7.3000002,No,White,No,No,No,No,No,No,,,,,,,No,No,,No,,,
Jessica Holcombe,Female,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379999,28.540001,No,White,No,No,No,No,No,No,,,,,,,No,No,,No,,,
Marty Walters,Female,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,None,-21.379999,20.51,No,White,No,No,No,No,No,No,,,,,,,No,No,,Yes,,,
Dotty Nygard,Female,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,1.89,No,White,No,No,No,No,Yes,No,No,No,No,,,,Yes,Yes,,No,,,
Josh Harder,Male,CA,U.S. House California District 10,Representative,Regular,6/5/18,Advanced,None,On the Ballot,0.62,35.57,Yes,White,No,No,No,No,Yes,No,Yes,No,Yes,,,,No,No,,No,,,
Michael Eggman,Male,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,21.34,No,White,No,No,No,No,No,No,No,No,No,,,,No,No,,No,,,
Mike Barkley,Male,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,4.98,No,White,Yes,No,No,No,Yes,No,No,No,No,,,,No,No,,No,,,
Sue Zwahlen,Female,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,17.049999,No,White,No,No,Yes,No,Yes,No,No,No,No,,,,No,No,,No,,,
Virginia Madueno,Female,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,None,0.62,19.17,No,Nonwhite,No,No,Yes,No,No,No,No,Yes,Yes,,,,No,No,,Yes,,,
TJ Cox,Male,CA,U.S. House California District 21,Representative,Regular,6/5/18,Advanced,None,On the Ballot,11.87,100,Yes,Nonwhite,No,No,No,No,Yes,No,Yes,No,,,,,,,,,,,
Andrew Janz,Male,CA,U.S. House California District 22,Representative,Regular,6/5/18,Advanced,None,On the Ballot,-13.41,78.830002,Yes,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,
Bobby Bliatout,Male,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,None,-13.41,12.26,No,Nonwhite,No,No,No,No,No,No,,,,,,,,,,,,,
Ricardo Franco,Male,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,None,-13.41,8.9099998,No,Nonwhite,No,No,No,No,Yes,No,,,,,,,,,,,,,
