rank_from_low,rank_from_high,percentile,ideology,id,bioguide_id,state,district,name
1,100,0,0.0,412678,H001075,CA,,b'Harris'
2,99,1,0.016944776679627443,400357,S000033,VT,,b'Sanders'
3,98,2,0.026050491583832488,412223,G000555,NY,,b'Gillibrand'
4,97,3,0.07330843825611803,412325,M001176,OR,,b'Merkley'
5,96,4,0.0745238537200178,412598,B001288,NJ,,b'Booker'
6,95,5,0.09061130946293314,412200,H001042,HI,,b'Hirono'
7,94,6,0.1034894258265648,400253,M000133,MA,,b'Markey'
8,93,7,0.12224258074172446,412490,B001277,CT,,b'Blumenthal'
9,92,8,0.13804393642502644,412242,K000367,MN,,b'Klobuchar'
10,91,9,0.153866430126689,300038,D000563,IL,,b'Durbin'
11,90,10,0.15665908699197698,400415,V000128,MD,,b'Van Hollen'
12,89,11,0.15926417401250717,300081,R000122,RI,,b'Reed'
13,88,12,0.16209351737438324,400050,B000944,OH,,b'Brown'
14,87,13,0.17244870680854446,412247,W000802,RI,,b'Whitehouse'
15,86,14,0.17386429005938328,300100,W000779,OR,,b'Wyden'
16,85,15,0.17920303180850444,412742,S001203,MN,,b'Smith'
17,84,16,0.2012552611337146,412194,M001169,CT,,b'Murphy'
18,83,17,0.20566718883500099,300065,L000174,VT,,b'Leahy'
19,82,18,0.2118363697535679,300043,F000062,CA,,b'Feinstein'
20,81,19,0.21410009157634585,300076,M001111,WA,,b'Murray'
21,80,20,0.2217038610589482,300093,S000770,MI,,b'Stabenow'
22,79,21,0.2235274329186771,412507,S001194,HI,,b'Schatz'
23,78,22,0.22828459994877723,400013,B001230,WI,,b'Baldwin'
24,77,23,0.24354805537825033,412281,H001046,NM,,b'Heinrich'
25,76,24,0.2551739730766844,412582,K000384,VA,,b'Kaine'
26,75,25,0.256294098104753,412542,W000817,MA,,b'Warren'
27,74,26,0.2636323634238522,412533,D000622,IL,,b'Duckworth'
28,73,27,0.2753443617890672,400064,C000141,MD,,b'Cardin'
29,72,28,0.2758644909191392,412681,C001113,NV,,b'Cortez Masto'
30,71,29,0.27822564706623987,400272,M000639,NJ,,b'Menendez'
31,70,30,0.28095263032292417,400413,U000039,NM,,b'Udall'
32,69,31,0.2848180911350111,300087,S000148,NY,,b'Schumer'
33,68,32,0.29239995978007416,412246,C001070,PA,,b'Casey'
34,67,33,0.31111890799553454,300018,C000127,WA,,b'Cantwell'
35,66,34,0.3179479726620432,412715,R000608,NV,,b'Rosen'
36,65,35,0.31960931368501216,412330,B001267,CO,,b'Bennet'
37,64,36,0.3391463265901287,300019,C000174,DE,,b'Carper'
38,63,37,0.3441392280450988,412323,S001181,NH,,b'Shaheen'
39,62,38,0.4008745097866435,412321,W000805,VA,,b'Warner'
40,61,39,0.4234827330151215,412680,H001076,NH,,b'Hassan'
41,60,40,0.4244381306315809,412305,P000595,MI,,b'Peters'
42,59,41,0.4426664154380726,412390,C001088,DE,,b'Coons'
43,58,42,0.4469528145122353,412545,K000383,ME,,b'King'
44,57,43,0.4757431357079587,412244,T000464,MT,,b'Tester'
45,56,44,0.5007810432250042,300075,M001153,AK,,b'Murkowski'
46,55,45,0.5552092035880505,300089,S000320,AL,,b'Shelby'
47,54,46,0.5556297694204375,300025,C001035,ME,,b'Collins'
48,53,47,0.5903922722284984,412391,M001183,WV,,b'Manchin'
49,52,48,0.6206320504052198,400054,B001135,NC,,b'Burr'
50,51,49,0.6371406470932067,400325,P000449,OH,,b'Portman'
51,50,50,0.6405356892058713,412741,J000300,AL,,b'Jones'
52,49,51,0.6443790697741278,300072,M000355,KY,,b'McConnell'
53,48,52,0.6455265008634656,412492,P000603,KY,,b'Paul'
54,47,53,0.6907820275231388,412509,S001191,AZ,,b'Sinema'
55,46,54,0.6924682832119119,300002,A000360,TN,,b'Alexander'
56,45,55,0.7013602557996437,300047,G000359,SC,,b'Graham'
57,44,56,0.7031336042945496,412495,L000577,UT,,b'Lee'
58,43,57,0.7061604648874235,300048,G000386,IA,,b'Grassley'
59,42,58,0.7102803044283358,412665,S001198,AK,,b'Sullivan'
60,41,59,0.7127245029490248,400408,T000461,PA,,b'Toomey'
61,40,60,0.7137976045767491,412496,J000293,WI,,b'Johnson'
62,39,61,0.7173785772365683,412841,R000615,UT,,b'Romney'
63,38,62,0.7287136979602237,412406,G000562,CO,,b'Gardner'
64,37,63,0.7371144793867281,400061,C001047,WV,,b'Capito'
65,36,64,0.7400807063715135,412671,S001197,NE,,b'Sasse'
66,35,65,0.7422806681898168,412428,Y000064,IN,,b'Young'
67,34,66,0.7507158170147635,412611,M001197,AZ,,b'McSally'
68,33,67,0.7533932149123836,400194,I000055,GA,,b'Isakson'
69,32,68,0.7623453531391945,400546,T000250,SD,,b'Thune'
70,31,69,0.7629071891846032,412269,C001075,LA,,b'Cassidy'
71,30,70,0.7925876391817364,400284,M000934,KS,,b'Moran'
72,29,71,0.804193037813696,412840,H001089,MO,,b'Hawley'
73,28,72,0.8219993414105102,412556,F000463,NE,,b'Fischer'
74,27,73,0.8235673172095974,412471,S001184,SC,,b'Scott'
75,26,74,0.8269140069856623,412494,H001061,ND,,b'Hoeven'
76,25,75,0.8272293354471204,400034,B000575,MO,,b'Blunt'
77,24,76,0.8297323207712908,300041,E000285,WY,,b'Enzi'
78,23,77,0.8305249856927353,412838,S001217,FL,,b'Scott'
79,22,78,0.8363947912940349,412549,D000618,MT,,b'Daines'
80,21,79,0.838055867546137,300030,C000880,ID,,b'Crapo'
81,20,80,0.839580162492081,412679,K000393,LA,,b'Kennedy'
82,19,81,0.8401621855792358,400040,B001236,AR,,b'Boozman'
83,18,82,0.8424017461846754,412251,B001261,WY,,b'Barrasso'
84,17,83,0.8444922719332694,400432,W000437,MS,,b'Wicker'
85,16,84,0.8540789779102235,300083,R000307,KS,,b'Roberts'
86,15,85,0.8645191690081264,412668,T000476,NC,,b'Tillis'
87,14,86,0.8679209368950046,412666,P000612,GA,,b'Perdue'
88,13,87,0.871857264091262,412743,H001079,MS,,b'Hyde-Smith'
89,12,88,0.8775324073088356,412464,L000575,OK,,b'Lankford'
90,11,89,0.8809049568154679,412669,R000605,SD,,b'Rounds'
91,10,90,0.8830817900318061,412491,R000595,FL,,b'Rubio'
92,9,91,0.8870543057352175,412322,R000584,ID,,b'Risch'
93,8,92,0.9040279989965632,300027,C001056,TX,,b'Cornyn'
94,7,93,0.9049266135310805,412508,C001095,AR,,b'Cotton'
95,6,94,0.9084679910916236,412555,C001096,ND,,b'Cramer'
96,5,95,0.9103937203269233,300055,I000024,OK,,b'Inhofe'
97,4,96,0.9137407238727628,412573,C001098,TX,,b'Cruz'
98,3,97,0.9146603150533097,412839,B001310,IN,,b'Braun'
99,2,98,0.9621085394160072,412667,E000295,IA,,b'Ernst'
100,1,99,1.0,400032,B001243,TN,,b'Blackburn'
